type,summary,product,comp,assignee,status,resolution,updated
,Expand error message with tips when attempting to browse while offline        ,Firefox for iOS        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Importing Safari Accessibility settings - minimum font size        ,Firefox        ,Migration        ,nobody        ,UNCO        ,---        ,2022-10-11    
,After a recent update firefox sometimes displays wrong content on page        ,Core        ,Graphics        ,nobody        ,UNCO        ,---        ,2022-10-11    
,We need a regression test that launches Firefox and fails if any exceptions are logged        ,Testing        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,alt keys fail in Cookies dialog        ,Firefox        ,Keyboard Navigation        ,nobody        ,UNCO        ,---        ,2022-10-10    
,gBrowser progress listener's onSecurityChange doesnt trigger for a downloadable URL        ,Firefox        ,Downloads Panel        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Download manager shows wrong source server        ,Firefox        ,Downloads Panel        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox fails to render GUI and web elements on page loading        ,Core        ,Graphics        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Can't 'Open in new tab' while new page is loading (ctrl + T) works        ,Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Tabs start opening in wrong window after several hours of use        ,Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Pink texture/artifacts with Firefox 41 on android 5.1 tablet        ,Core        ,Graphics        ,nobody        ,UNCO        ,---        ,2022-10-11    
,[10.11] (UI) Tab Bar needs more contrast in OS X 10.11 El Capitan        ,Firefox        ,Theme        ,nobody        ,UNCO        ,---        ,2022-10-11    
,[Dev Theme] Arrow .tab-drop-indicator (which appears if I drag a link between tabs) should have white icon on dark theme        ,Firefox        ,Theme        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"Recognition, handling of filename.otf        ",Firefox        ,File Handling        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Random menu placement on opening        ,Firefox        ,Menus        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Graphical glitch and not working toolbar on OS X 10.10.4        ,Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,fckeditor - paste and paste from word disabled        ,Firefox        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Input confusion when Numlock is off        ,Firefox        ,Keyboard Navigation        ,nobody        ,UNCO        ,---        ,2022-10-31    
,The hover animation is not performed on the door hanger More information button        ,Firefox        ,Private Browsing        ,nobody        ,UNCO        ,---        ,2022-10-11    
,All tabs are connected on restart even with option checked        ,Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Delay in firefox menus when the maximum fps are locked (tried 60) and hardware acceleration is enabled        ,Core        ,Graphics        ,nobody        ,UNCO        ,---        ,2022-10-11    
,[GTK3] The sliders of progressbars are not shown        ,Firefox        ,Theme        ,nobody        ,UNCO        ,---        ,2022-10-11    
,photos in image galleries do not advance (display) when '>' icon is clicked        ,Firefox        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Hover pseudo class in Firefox mobile        ,Core        ,CSS Parsing and Comp        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"Firefox shows NaN (not a number)  using type=""number"" in windows 10 when date,time format is Persian        ",Core        ,Layout: Form Control        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Middle Mouse button does not open links on some sites.        ,Firefox        ,General        ,nobody        ,UNCO        ,---        ,2021-09-27    
,drop a tab on another window of firefox in split view mode will place that tab in strange position        ,Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox creates directories in user's home directory        ,Toolkit        ,Downloads API        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Preference for controlling css animation and transforms        ,Firefox        ,Settings UI        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"Triple touch dictation is no longer on Firefox while using MacBook, problem began after last major update.        ",Firefox        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,OS X's Speak Selected Text speaks incorrect text        ,Firefox        ,Disability Access        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Dropdown menus stop working on Linux Ubuntu when you open a website through the Dash        ,Firefox        ,Menus        ,nobody        ,UNCO        ,---        ,2022-10-11    
,No way to specify url-only matching when typing text in the url bar        ,Firefox        ,Settings UI        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox fails to update when there are files with too long names in Firefox directory        ,Toolkit        ,Application Update        ,nobody        ,UNCO        ,---        ,2022-10-10    
,RFE Popup blocker is not effective against ajax/javascript type modal windows        ,Firefox        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"restart firefox (with session restore) after it was killed while downloading file will overwrite file, instead continuing to download where it ended        ",Toolkit        ,Downloads API        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"In FF 40.0.3 on OS X 10.10.5, reordering bookmarks in bookmarks toolbar folders via drag-and-drop opens bookmarks        ",Firefox        ,Toolbars and Customi        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Address bar text is cut off along the bottom when Windows font sizes for system elements  are increased        ,Firefox        ,Theme        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Infinite loop in Firefox because of OnShowCursor error        ,Core        ,IPC        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Unknown content type dialog should show url of page initiating download (not just the download's domain)        ,Firefox        ,Downloads Panel        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"regular expressions are VERY slow in firefox, see article and code        ",Core        ,JavaScript Engine        ,nobody        ,UNCO        ,---        ,2022-10-11    
,restoring a session while a tab is open will create new instance        ,Firefox        ,Session Restore        ,nobody        ,UNCO        ,---        ,2022-10-10    
,Inconsistent hit testing close behavior and transition-less effect on Hamburger Menu        ,Firefox        ,Menus        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Session Management disarranges windows/desktops on session restore        ,Firefox        ,Session Restore        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Blocks in new tab can 'hide' [DESIGN/UI]        ,Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Extending the audio symbol in the tabs to show also videos playing        ,Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Tours tooltips misplaced when the menu button is missing        ,Firefox        ,Tours        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Tab bar mixed up        ,Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"Firefox 42 x64, zimbra unicode        ",Core        ,DOM: Core & HTML        ,nobody        ,UNCO        ,---        ,2022-10-11    
,add-ons installation warning        ,Firefox        ,Settings UI        ,nobody        ,UNCO        ,---        ,2022-10-11    
,PDF opens with GIMP despite setting it to open with Okular in preferences AND in Dolphin        ,Firefox        ,File Handling        ,nobody        ,UNCO        ,---        ,2022-10-11    
,DOMParser triggers CSP reports on mac        ,Firefox        ,Security        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Bookmark toolbar disappears after Firefox crash        ,Firefox        ,Toolbars and Customi        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Windows build failed because of windows user name containing non-ASCII characters        ,Firefox Build System        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox extremely sluggish with large number of NOT LOADED tabs        ,Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"Minimise, restore and close window buttons in full-screen mode are too close to each other        ",Firefox        ,Theme        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Quick action to open new tab        ,Firefox for iOS        ,Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"Some items on ""Clear on exit"" menu do not hold user settings        ",Firefox        ,Settings UI        ,nobody        ,UNCO        ,---        ,2022-10-11    
,want to delete cookies by hand from a directory        ,Firefox        ,Private Browsing        ,nobody        ,UNCO        ,---        ,2022-10-11    
,C:/Users/Neil/AppData/Local/Temp/make4716-2.sh: line 11: C:mozilla-buildmsysmozilla-buildbrowser-x32-opt: command not found        ,Firefox Build System        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox briefly becomes unresponsive on several occasions        ,Firefox        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox lent        ,Firefox        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"Unexpected double-fire the ""Back"" function in Firefox 42.0        ",Firefox        ,Toolbars and Customi        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"user_pref(""sanity-test.device-id"", ""0x0641""); causes Firefox to hang        ",Core        ,Graphics        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox crash using window fatigue        ,Core        ,DOM: Core & HTML        ,nobody        ,UNCO        ,---        ,2022-10-11    
,New windows do not retain firefox/windows themes correctly        ,Toolkit        ,Themes        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox 38 parseFloat behaviour        ,Firefox        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Scalability: nsFrameMessageManager::LoadFrameScript() is called many times per tab        ,Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Using Magnific-Popup causes Out of Memory on Firefox but not Chrome        ,Core        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Full screen (F11) breaks some keyboard shortcuts in Ubuntu        ,Firefox        ,Keyboard Navigation        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox is unusable with on-screen keyboard in the gnome desktop        ,Firefox        ,Disability Access        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Add option to keep cookies for fixed amount of days        ,Firefox        ,Settings UI        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Compilation errors with qt 5.5.1        ,Firefox Build System        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Sound indicator is misaligned on pinned tab        ,Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Double click on empty tab bar no longer open new tab on OS X since Firefox 43        ,Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,FireFox Developer Edition Ubuntu: Select element has a transparent background color        ,Firefox        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox hangs when I open additional tabs when there are ~100 open and 1500 inactive tabs already        ,Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,show country field a column of the certificate manager        ,Firefox        ,Security        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"New page ""about:blank"" opened while downloading some files (Google Chrome Setup)        ",Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Black bar at top of screen in Fullscreen mode        ,Firefox        ,Theme        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"CPU usage high, interface visibly laggy after upgrade to FF 43.0        ",Firefox        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,alt shortcuts fail in Privacy settings about:preferences#privacy        ,Firefox        ,Keyboard Navigation        ,nobody        ,UNCO        ,---        ,2022-10-11    
,make it easier to reload old downloads from the Library        ,Firefox        ,Downloads Panel        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"Clicking on bookmark takes me to the website, then I lose it and go back to the previous site        ",Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"""New tab"" button's icon has pale gray outline when dark lightweight theme is in use, unlike black outline of all other icons        ",Firefox        ,Theme        ,nobody        ,UNCO        ,---        ,2022-10-10    
,Some submenu objects are difficult to see with GTK+3        ,Firefox        ,Menus        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"Changing the language and restoring the previous session does show for a very short time ""New Tab"" in the old language        ",Firefox        ,Session Restore        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox does not obey font-size when printing a svg text element with stroke        ,Core        ,SVG        ,nobody        ,UNCO        ,---        ,2022-10-11    
,partly retains history in Private Session        ,Firefox        ,Private Browsing        ,nobody        ,UNCO        ,---        ,2022-10-11    
,an object with unsupported content-type from iframe is suggested to open        ,Firefox        ,File Handling        ,nobody        ,UNCO        ,---        ,2022-10-11    
,lagging keyboard input at websites running Codoforum engine        ,Firefox        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Icons for certain file types do not show under Options > Applications and in Downloads Library        ,Firefox        ,Downloads Panel        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Window size is incorrect when switching tabs/ returning to firefox on OSX (El Capitan)        ,Core        ,Layout        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Restoring the previous session causes the first tab to have the focus on the address bar        ,Firefox        ,Session Restore        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"Firefox misses characters in fast, automated typing from YubiKey        ",Core        ,DOM: UI Events & Foc        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"Use site's ""theme-color"" meta tag for desktop Firefox UI        ",Firefox        ,Theme        ,nobody        ,UNCO        ,---        ,2022-10-11    
,UI menu not displaying propperly        ,Firefox        ,Menus        ,nobody        ,UNCO        ,---        ,2022-10-10    
,Method to identify Firefox ESR vs Firefox Mainline on enterprise Macs        ,Firefox        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Clicking and dragging a tab to a second monitor does not always create a new firefox window        ,Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,ctrl+w sometimes closes browser        ,Firefox        ,Keyboard Navigation        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Glitch in the GUI when transfering tabs to a new window of Firefox on OS X        ,Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Can't unmute tabs when sound isn't playing        ,Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-10    
,Upload progress should somehow be indicated        ,Firefox        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Single click sometimes acts as double click when clicking on tab/tabbar while FF window is unfocused        ,Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,A promise chain failed to handle a rejection        ,Firefox        ,Session Restore        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Request for enhancement for privacy - Preferences open in separate dialog or window        ,Firefox        ,Settings UI        ,nobody        ,UNCO        ,---        ,2022-10-11    
,I can't place the New Tab Button in its place - RTL        ,Firefox        ,Toolbars and Customi        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox doesn't try to connect with HTTPS if the hostname is entered without a protocol        ,Core        ,Security        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox shouldn't let server metadata dictate local file associations        ,Firefox        ,File Handling        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Ctrl+Shift+A does not open addons manager (when <input> or <textarea> have focused)        ,Firefox        ,Keyboard Navigation        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Portuguese hyphenation in Firefox on Linux occasionaly fails for accented words        ,Core        ,Layout: Text and Fon        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Multiple undefined references in xul.dll using MSVC2015u1        ,Firefox Build System        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"Amazon.ca ""Related to Items You've Viewed"" logs items when using ""Private Browsing""        ",Firefox        ,Private Browsing        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Unable to left-click context menu items        ,Firefox        ,Menus        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Keyboard Navigation Disabled in Exceptions Cookies Window        ,Firefox        ,Settings UI        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"Firefox detects XML download as ""Microsoft Help Attribute Definition File"" on linux        ",Firefox        ,File Handling        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox Aurora 46.0a2 refuses to use libnotify on my linux.        ,Toolkit        ,Notifications and Al        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"Firefox 44.0.2, on Mac OS X, appears to disable/ignore ""Cmd+Shift+B"" keyboard shortcut        ",Firefox        ,Keyboard Navigation        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox temporarily hangs while spinning up Downloads disk        ,Toolkit        ,Downloads API        ,nobody        ,UNCO        ,---        ,2022-10-11    
,web-based protocol handlers double url encode url which already has url encoding        ,Firefox        ,File Handling        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"When Firefox blocks redirect or reload page, move the focus on the ""Allow"" button        ",Firefox        ,General        ,nobody        ,UNCO        ,---        ,2022-10-10    
,Recently closed tabs not updating when cookies disabled        ,Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Cache in storage/temporary is not deleted never and it is saved also in private browsing        ,Firefox        ,Private Browsing        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Parsing error with big json files on Firefox        ,Core        ,DOM: Core & HTML        ,nobody        ,UNCO        ,---        ,2022-10-11    
,video in Quick-Time format in Firefox not working        ,Mozilla QA        ,General        ,nobody        ,UNCO        ,---        ,2016-03-03    
,file libmozjs.so: required by ../../toolkit/library/libxul.so        ,Firefox Build System        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,close the terminal display: none copy-paste social engineering attack        ,Firefox        ,Security        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Several strings should use a proper plural form in Page Info        ,Firefox        ,Page Info Window        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Page Info Media dimensions often shows 0x0        ,Firefox        ,Page Info Window        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"Add ""View Background Image"" to elements        ",Firefox        ,Menus        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"""Forget"" icon still operational in Private Window, creating potential for user confusion        ",Firefox        ,Private Browsing        ,nobody        ,UNCO        ,---        ,2022-10-10    
,Firefox allow site to change parent window        ,Core        ,DOM: Core & HTML        ,nobody        ,UNCO        ,---        ,2022-10-11    
,IOS Firefox CORS Support For Video And WebGL        ,Firefox for iOS        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Placeholder color on urlbar and searchbar is different between normal window and private window in devedition theme        ,Firefox        ,Theme        ,nobody        ,UNCO        ,---        ,2022-10-10    
,No option to exit customize without saving        ,Firefox        ,Toolbars and Customi        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"When I lockPref ""browser.startup.homepage"" using mozilla.cfg certain UI elements break (45.0.0 ESR)        ",Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Improve usability of session restore / closing Firefox        ,Firefox        ,Session Restore        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Launch native iOS app from firefox Browser        ,Firefox for iOS        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Do not run the service caused by shortcut (hotkey)        ,Firefox        ,Menus        ,nobody        ,UNCO        ,---        ,2022-10-11    
,ECDH web crypto key incompatibility between Chrome and Firefox        ,Core        ,Security        ,nobody        ,UNCO        ,---        ,2022-10-11    
,disable-permissions causes build failure        ,Firefox Build System        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Cached Web Content Size Gets Stuck at a Size Greater Than Zero Even when Cleared        ,Firefox        ,Settings UI        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox 45 shows session restore screen on every start        ,Firefox        ,Session Restore        ,nobody        ,UNCO        ,---        ,2022-10-24    
,Clicking the right tab stepper if disabled causes the tabs to flicker        ,Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,media.play-stand-alone setting renders Applications Preferences useless        ,Firefox        ,File Handling        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Pull down menus close when I try to choose menu items        ,Firefox        ,Menus        ,nobody        ,UNCO        ,---        ,2022-10-17    
,"When printing a 200 page html page, firefox only prints the first 88 pages        ",Core        ,Printing: Output        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"Firefox truncates SVG path data after a stray comma (per spec), unlike other browsers        ",Core        ,SVG        ,nobody        ,UNCO        ,---        ,2022-10-11    
,In Gnome Dark Theme is a white background in the firefox about window        ,Firefox        ,Theme        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Text entered in Bugzilla but not yet validated is lost after Firefox restarts        ,bugzilla.mozilla.org        ,Extensions        ,nobody        ,UNCO        ,---        ,2019-10-15    
,Building Firefox fails on Windows 10 due to error with screenshot.exe        ,Firefox Build System        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Confirm to close windows dialogue box causes becomes unselectable        ,Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,I am able to access the Office365 student email of the last account that was signed in without entering login credentials.        ,Firefox        ,Session Restore        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox 'locks up' when trying to create new folder after 2nd download        ,Toolkit        ,Downloads API        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"Troubleshooting Information 'Show Folder' and ""Show Update History"" buttons hover backgrounds match table background producing odd effect        ",Firefox        ,Theme        ,nobody        ,UNCO        ,---        ,2022-10-10    
,Don't use (multiple) home page(s) when opening additional windows after startup        ,Firefox        ,Settings UI        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox tab bar misinterprets clicks as drags under heavy load        ,Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Menu from move back/forward button does not update consistently        ,Firefox        ,Menus        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Masterpassword cannot be set due to faulty password entry fields        ,Firefox        ,Security        ,nobody        ,UNCO        ,---        ,2022-10-17    
,"firefox 45.0 on Linux Mint, in saved logins, right clicking & selecting to copy username, copies the passwords & vice versa        ",Firefox        ,Settings UI        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Provide a help link or hoverable info icon next to 'autoscrolling' and 'smooth scrolling'        ,Firefox        ,Settings UI        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"Firefox shows a redundant tab when set to remember tabs, closed with no tabs, then launched with a URL parameter        ",Firefox        ,Session Restore        ,nobody        ,UNCO        ,---        ,2022-10-11    
,store graphics: after changing directory filename ist overwritten        ,Firefox        ,File Handling        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox freezes under  Linux when layers.offmainthreadcomposition.enabled is true        ,Core        ,CSS Parsing and Comp        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Cmd-Shift-] stops working for tab navigation if keycode 221 is handled by the page itself        ,Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Verifiable debug symbols        ,Firefox Build System        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Text centred to line-height is rendered a pixel lower in Windows 7 & 8 versions of Firefox compared to Windows 10 Firefox as well as all other major browsers.        ,Core        ,Layout: Text and Fon        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Application selector doesn't select correctly        ,Firefox        ,File Handling        ,nobody        ,UNCO        ,---        ,2022-10-11    
,`--without-branding` configure option causes weird build failure        ,Firefox Build System        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox 46.0.1 does not send JSON POST requests correctly webseal        ,Core        ,DOM: Core & HTML        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox triggers blur event after focusing window        ,Core        ,DOM: Events        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Shouldn't use alternate domain fixup when opening links except if using the URL bar        ,Firefox        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Help link [?] in preferences is easy to overlook        ,Firefox        ,Settings UI        ,nobody        ,UNCO        ,---        ,2022-10-11    
,firefox pinned tabs open non-same-origin links in the same tab when browser.link.open_newwindow* settings tell them to do so (but shouldn't)        ,Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,[Meta]  Tracking bug for Firefox elements improperly sized for change of Windows default font sizes.        ,Firefox        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"Firefox 46.0.1 build fails on ""cannot access system_wrappers""        ",Firefox Build System        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"Credit Card Payment Trusted ""Frame""        ",Firefox        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Moving a tab out of Firefox does not always copy the same window size        ,Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox handling of taskbar preview is inconsistent.        ,Core        ,Widget        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Printing or previewing page with 15000 rows of td data hangs Firefox        ,Core        ,Printing: Output        ,nobody        ,UNCO        ,---        ,2022-10-11    
,mach test truncates last_log.json        ,Firefox Build System        ,Mach Core        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Symlinked app bundle for use as profile launcher causes special paths to use symlink file path rather then actual file pointed to path. This breaks update mechanism of Firefox        ,Core        ,Widget: Cocoa        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Suggestion - Quit button should have restart options        ,Firefox        ,Toolbars and Customi        ,nobody        ,UNCO        ,---        ,2022-10-11    
,The second Firefox window appear on the wrong screen (new bug in branch 46)        ,Core        ,Widget: Win32        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Read HG changeset ID from Git commit        ,Firefox Build System        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,mach configure: nsprpub> configure: WARNING: unrecognized [legal] options        ,Firefox Build System        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"""Forget"" on new tab, blank page restored on next session        ",Firefox        ,Session Restore        ,nobody        ,UNCO        ,---        ,2022-10-17    
,FF (at least dev edition) requires you to create a config preference to allow tab focusing of links        ,Firefox        ,Keyboard Navigation        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Feature rqst: Same behavior for third-party content as for cookies in Firefox        ,Core        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,65:07.35 client.mk:181: recipe for target 'build' failed        ,Firefox Build System        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,User option to stop all automatic firefox connections        ,Firefox        ,Settings UI        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Hamburger menu's green arrow update notification no longer shows up after Nightly update is force-downloaded        ,Firefox        ,Toolbars and Customi        ,nobody        ,UNCO        ,---        ,2022-10-11    
,mach lint fails on unicode character u'\u2716'        ,Firefox Build System        ,Mach Core        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Difficult to install Firefox 45 ESR on Windows Server 2008 Standard SP2        ,Webtools        ,Bouncer        ,nobody        ,UNCO        ,---        ,2016-08-24    
,pulldown menus don't work correctly        ,Firefox        ,Menus        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Context menu incorrect location        ,Firefox        ,Menus        ,nobody        ,UNCO        ,---        ,2022-10-10    
,Delay frame script instantiation and message delivery for background about:blank tabs        ,Firefox        ,Session Restore        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"The notificationbox does not conform to the monitor that Firefox is on, rather your main monitor (multiple monitors)        ",Toolkit        ,Notifications and Al        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Fade in/Fade Out effect of hamburger menu is missing from Linux builds        ,Firefox        ,Menus        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"Mention ""Firefox & Thunderbird Add-on Converter for SeaMonkey"" in native en-US SeaMonkey        ",SeaMonkey        ,Help Documentation        ,nobody        ,UNCO        ,---        ,2022-04-06    
,"bootstrap.py shouldn't use ""sudo brew install"" on OS X        ",Firefox Build System        ,Bootstrap Configurat        ,nobody        ,UNCO        ,---        ,2022-10-11    
,linker with spaces in its path found during |./mach build|        ,Firefox Build System        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox randomly fails to auto-fill forms        ,Core        ,Layout: Form Control        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox operations degrade after reaching 2gb of RAM        ,Core        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"After upgrade to Firefox 49.0, I can no longer cause my printer to print double space        ",Core        ,Printing: Setup        ,nobody        ,UNCO        ,---        ,2022-10-11    
